"","ID","Group","WD","Weight","Time"
"108","10","2","WD50",475,"50"
"109","10","2","WD57",484,"57"
"110","10","2","WD64",496,"64"
"111","11","2","WD1",445,"1"
"112","11","2","WD8",445,"8"
"113","11","2","WD15",450,"15"
"114","11","2","WD22",452,"22"
"115","11","2","WD29",455,"29"
"116","11","2","WD36",455,"36"
"117","11","2","WD43",451,"43"
"118","11","2","WD44",450,"44"
"119","11","2","WD50",462,"50"
"120","11","2","WD57",466,"57"
"121","11","2","WD64",472,"64"
"122","12","2","WD1",555,"1"
"123","12","2","WD8",560,"8"
"124","12","2","WD15",565,"15"
"125","12","2","WD22",580,"22"
"126","12","2","WD29",590,"29"
"127","12","2","WD36",597,"36"
"128","12","2","WD43",595,"43"
"129","12","2","WD44",595,"44"
"130","12","2","WD50",612,"50"
"131","12","2","WD57",618,"57"
"132","12","2","WD64",628,"64"
"133","13","3","WD1",470,"1"
"134","13","3","WD8",465,"8"
"135","13","3","WD15",475,"15"
"136","13","3","WD22",485,"22"
"137","13","3","WD29",487,"29"
"138","13","3","WD36",493,"36"
"139","13","3","WD43",493,"43"
"140","13","3","WD44",504,"44"
"141","13","3","WD50",507,"50"
"142","13","3","WD57",518,"57"
"143","13","3","WD64",525,"64"
"144","14","3","WD1",535,"1"
"145","14","3","WD8",525,"8"
"146","14","3","WD15",530,"15"
"147","14","3","WD22",533,"22"
"148","14","3","WD29",535,"29"
"149","14","3","WD36",540,"36"
"150","14","3","WD43",525,"43"
"151","14","3","WD44",530,"44"
"152","14","3","WD50",543,"50"
"153","14","3","WD57",544,"57"
"154","14","3","WD64",559,"64"
"155","15","3","WD1",520,"1"
"156","15","3","WD8",525,"8"
"157","15","3","WD15",530,"15"
"158","15","3","WD22",540,"22"
"159","15","3","WD29",543,"29"
"160","15","3","WD36",546,"36"
"161","15","3","WD43",538,"43"
"162","15","3","WD44",544,"44"
"163","15","3","WD50",553,"50"
"164","15","3","WD57",555,"57"
"165","15","3","WD64",548,"64"
"166","16","3","WD1",510,"1"
"167","16","3","WD8",510,"8"
"168","16","3","WD15",520,"15"
"169","16","3","WD22",515,"22"
"170","16","3","WD29",530,"29"
"171","16","3","WD36",538,"36"
"172","16","3","WD43",535,"43"
"173","16","3","WD44",542,"44"
"174","16","3","WD50",550,"50"
"175","16","3","WD57",553,"57"
"176","16","3","WD64",569,"64"
